stkcd,year,industry_code,resilience_composite,size,leverage,roa,first_sanction_year
000002,2010,K70,0.142648533791455,26.0968647003174,0.746861338615417,0.04099290817976,
000002,2011,K70,0.0696430306675192,26.331374588012704,0.770997285842896,0.039160281419754,
000002,2016,K70,0.138398698452526,26.331374588012704,0.805367052555084,0.0341292098164558,
000002,2017,K70,0.180725492341941,26.331374588012704,0.839812576770782,0.0319290235638618,
000002,2018,K70,0.160988728157544,26.331374588012704,0.845856368541718,0.0322340428829193,
000002,2019,K70,0.183448547890623,26.331374588012704,0.84358948469162,0.0318692848086357,
000002,2020,K70,0.195403183673526,26.331374588012704,0.812835037708282,0.0317241847515106,
000002,2021,K70,0.137715163172848,26.331374588012704,0.797397553920746,0.0196372531354427,
000002,2022,K70,0.149188868855914,26.331374588012704,0.769514620304108,0.0213706605136395,
000002,2023,K70,0.0682971887169837,26.331374588012704,0.732243418693542,0.0135930860415101,
000002,2024,K70,0.0736120046848744,26.331374588012704,0.736558139324188,-0.0378647707402706,
000004,2012,C27,0.583866918334745,19.825901222228996,0.232527613639832,0.0405063554644585,
000004,2013,C27,0.706043024738619,19.825901222228996,0.40323942899704,0.0239384677261114,
000004,2014,C27,0.259960068328064,19.825901222228996,0.534754455089569,0.0461886450648308,
000004,2015,C27,0.589841399732274,19.825901222228996,0.590401709079742,0.017199918627739,
000004,2016,C27,0.443277212840837,19.825901222228996,0.203456312417984,0.177529826760292,
000004,2017,C27,0.426486600790203,19.825901222228996,0.315246611833572,0.0219169296324253,
000004,2018,C27,0.314487510739887,19.825901222228996,0.477965950965881,-0.0615434758365154,
000004,2019,C27,0.0873562639486528,21.1250514984131,0.0602434277534485,-0.00241151987574995,
000005,2010,S91,0.140344305957029,20.9807014465332,0.47796031832695,-0.00342173594981432,
000005,2011,S91,0.0695223743056586,20.9548435211182,0.476484328508377,0.00905503425747156,
000005,2012,K70,0.397957318093861,21.0006713867188,0.483141541481018,0.0166868064552546,
000005,2013,K70,0.551558695508523,20.8960876464844,0.474830955266953,-0.035624124109745,
000005,2014,K70,0.431569377427541,21.0356388092041,0.509963572025299,0.0315834395587444,
000005,2015,K70,0.240057849576584,21.508996963501,0.447039991617203,-0.024626936763525,
000005,2016,N77,0.128491185930014,21.6503925323486,0.463708490133286,0.0462807789444923,
000005,2017,N77,0.297332107885525,21.7921409606934,0.517747342586517,0.00787610001862049,
000005,2018,N77,0.146933550576319,21.8615550994873,0.494039922952652,0.0502170361578465,
000005,2019,N77,0.488863875153171,21.8324356079102,0.425337433815002,0.0588746704161167,
000005,2020,N77,0.331644032298281,21.6204948425293,0.459425002336502,-0.157458201050758,
000006,2010,K70,0.774668131488872,22.8713359832764,0.701420605182648,0.057942058891058,
000006,2015,K70,0.927547546520325,23.2651443481445,0.646150767803192,0.0345405414700508,
000006,2016,K70,0.750772235192938,23.3012371063232,0.610499203205109,0.0610366724431515,
000006,2018,K70,0.810035277781284,23.3286724090576,0.528236269950867,0.0681942775845528,
000006,2019,K70,0.657811631284388,23.479808807373,0.544612109661102,0.0535438396036625,
