focal_stkcd,year,supplier_stkcd,supplier_is_listed,node_type,patent_digital_ratio
000338,2024,000880,1,supplier,0.0
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000555,0,supplier,0.8091603053435115
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,002410,1,supplier,0.6015625
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,301208,1,supplier,1.0
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,300369,0,supplier,0.95
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,688023,1,supplier,0.9066232356134636
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,002183,0,supplier,0.14285714285714285
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000338,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,002917,1,supplier,0.17857142857142858
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,301028,1,supplier,0.2
000858,2024,601618,0,supplier,0.06589651039359704
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,688777,1,supplier,0.5274738040473037
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,002400,1,supplier,1.0
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,300024,1,supplier,0.079734219269103
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,300933,0,supplier,0.07692307692307693
000858,2024,002116,0,supplier,0.18714611368482975
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,002712,1,supplier,
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,002051,0,supplier,0.2235294117647059
000858,2024,601390,0,supplier,0.1227990854857087
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
000858,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,600523,0,supplier,0.09771986970684039
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,600765,0,supplier,0.019543973941368076
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,688219,1,supplier,0.0
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,600879,0,supplier,0.13722730471498945
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,002025,1,supplier,0.04313443565780014
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,600736,0,supplier,0.0
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,688392,1,supplier,0.04
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,600335,0,supplier,0.24635332252836306
002179,2024,688118,1,supplier,1.0
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,002885,0,supplier,0.0
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,301310,1,supplier,0.0
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,600151,0,supplier,0.0
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,600562,0,supplier,0.3177083333333333
002179,2024,688313,0,supplier,0.1
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
002179,2024,000000,0,supplier,0.21826459447605995
